so,thread_limit,size,x,y,z,execution time,begin temperature,end temperature
8,-1,800,4,2,2,2.3e-05,60,61
8,-1,800,4,2,4,2.2e-05,60,61
8,-1,800,4,2,8,2.3e-05,60,60
8,-1,800,4,2,16,2.8e-05,60,60
8,-1,800,4,2,32,2.3e-05,60,60
8,-1,800,4,2,64,2.3e-05,60,60
8,-1,800,4,4,2,2.1e-05,60,61
8,-1,800,4,4,4,2.3e-05,60,60
8,-1,800,4,4,8,2.2e-05,60,60
8,-1,800,4,4,16,2.3e-05,60,60
8,-1,800,4,4,32,2.3e-05,60,60
8,-1,800,4,4,64,2.3e-05,60,60
8,-1,800,4,8,2,2.2e-05,60,61
8,-1,800,4,8,4,2.5e-05,60,61
8,-1,800,4,8,8,2.3e-05,60,60
8,-1,800,4,8,16,2.4e-05,60,61
8,-1,800,4,8,32,2.2e-05,60,61
8,-1,800,4,16,2,2.4e-05,60,61
8,-1,800,4,16,4,2.2e-05,60,61
8,-1,800,4,16,8,2.3e-05,60,60
8,-1,800,4,16,16,2.4e-05,60,60
8,-1,800,4,32,2,2.2e-05,60,61
8,-1,800,4,32,4,2.5e-05,60,61
8,-1,800,4,32,8,2.3e-05,60,61
8,-1,800,4,64,2,2.3e-05,60,61
8,-1,800,4,64,4,2.4e-05,60,61
8,-1,800,8,2,2,2.2e-05,60,61
8,-1,800,8,2,4,2.1e-05,60,61
8,-1,800,8,2,8,2.4e-05,60,60
8,-1,800,8,2,16,2.4e-05,60,60
8,-1,800,8,2,32,2.3e-05,60,60
8,-1,800,8,2,64,2.8e-05,60,60
8,-1,800,8,4,2,2.4e-05,60,61
8,-1,800,8,4,4,2.3e-05,60,61
8,-1,800,8,4,8,2.5e-05,60,60
8,-1,800,8,4,16,2.4e-05,60,60
8,-1,800,8,4,32,2.3e-05,60,60
8,-1,800,8,8,2,2.3e-05,60,60
8,-1,800,8,8,4,2.4e-05,60,60
8,-1,800,8,8,8,2.4e-05,60,60
8,-1,800,8,8,16,2.4e-05,60,60
8,-1,800,8,16,2,2.3e-05,60,60
8,-1,800,8,16,4,2.4e-05,60,60
8,-1,800,8,16,8,2.4e-05,60,60
8,-1,800,8,32,2,2.2e-05,60,61
8,-1,800,8,32,4,2.4e-05,60,61
8,-1,800,8,64,2,2.3e-05,60,61
8,-1,800,16,2,2,2.4e-05,60,61
8,-1,800,16,2,4,2.4e-05,60,60
8,-1,800,16,2,8,2.2e-05,60,61
8,-1,800,16,2,16,2.2e-05,60,61
8,-1,800,16,2,32,2.3e-05,60,61
8,-1,800,16,4,2,2.3e-05,60,61
8,-1,800,16,4,4,2.2e-05,60,61
8,-1,800,16,4,8,2.2e-05,60,61
8,-1,800,16,4,16,2.4e-05,60,60
8,-1,800,16,8,2,2.4e-05,60,61
8,-1,800,16,8,4,2.3e-05,60,61
8,-1,800,16,8,8,2.2e-05,60,61
8,-1,800,16,16,2,2.3e-05,60,61
8,-1,800,16,16,4,2.4e-05,60,61
8,-1,800,16,32,2,2.4e-05,60,61
8,-1,800,32,2,2,2.3e-05,60,61
8,-1,800,32,2,4,2.3e-05,60,61
8,-1,800,32,2,8,2.4e-05,60,61
8,-1,800,32,2,16,2.4e-05,60,60
8,-1,800,32,4,2,2.3e-05,60,60
8,-1,800,32,4,4,2.2e-05,60,61
8,-1,800,32,4,8,2.3e-05,60,61
8,-1,800,32,8,2,2.4e-05,60,61
8,-1,800,32,8,4,2.4e-05,60,61
8,-1,800,32,16,2,2.4e-05,60,61
8,-1,800,64,2,2,2.2e-05,60,61
8,-1,800,64,2,4,2.4e-05,60,61
8,-1,800,64,2,8,2.4e-05,60,61
8,-1,800,64,4,2,2.4e-05,60,61
8,-1,800,64,4,4,2.4e-05,60,61
8,-1,800,64,8,2,2.4e-05,60,61
16,-1,800,2,2,2,2.1e-05,60,61
16,-1,800,2,2,4,2.4e-05,60,61
16,-1,800,2,2,8,2.4e-05,60,61
16,-1,800,2,2,16,2.3e-05,60,61
16,-1,800,2,2,32,2.4e-05,60,60
16,-1,800,2,2,64,2.3e-05,60,60
16,-1,800,2,4,2,2.5e-05,60,61
16,-1,800,2,4,4,2.3e-05,60,61
16,-1,800,2,4,8,2.4e-05,60,61
16,-1,800,2,4,16,2.4e-05,60,60
16,-1,800,2,4,32,2.4e-05,60,60
16,-1,800,2,4,64,2.4e-05,60,61
16,-1,800,2,8,2,2.5e-05,60,61
16,-1,800,2,8,4,2.5e-05,60,61
16,-1,800,2,8,8,2.3e-05,60,61
16,-1,800,2,8,16,2.4e-05,60,60
16,-1,800,2,8,32,2.9e-05,60,61
16,-1,800,2,8,64,2.4e-05,60,61
16,-1,800,2,16,2,2.3e-05,60,61
16,-1,800,2,16,4,2.3e-05,60,61
16,-1,800,2,16,8,2.3e-05,60,61
16,-1,800,2,16,16,2.3e-05,60,61
16,-1,800,2,16,32,2.4e-05,60,60
16,-1,800,2,32,2,2.4e-05,60,61
16,-1,800,2,32,4,2.4e-05,60,61
16,-1,800,2,32,8,2.5e-05,60,61
16,-1,800,2,32,16,2.5e-05,60,61
16,-1,800,2,64,2,2.4e-05,60,61
16,-1,800,2,64,4,2.4e-05,60,61
16,-1,800,2,64,8,2.4e-05,60,61
16,-1,800,4,2,2,2.4e-05,60,61
16,-1,800,4,2,4,2.7e-05,60,61
16,-1,800,4,2,8,2.5e-05,60,61
16,-1,800,4,2,16,2.2e-05,60,60
16,-1,800,4,2,32,2.5e-05,60,60
16,-1,800,4,2,64,2.3e-05,60,61
16,-1,800,4,4,2,2.4e-05,60,61
16,-1,800,4,4,4,2.4e-05,60,61
16,-1,800,4,4,8,2.4e-05,60,61
16,-1,800,4,4,16,2.5e-05,60,61
16,-1,800,4,4,32,2.4e-05,60,60
16,-1,800,4,4,64,2.4e-05,60,60
16,-1,800,4,8,2,2.5e-05,60,61
16,-1,800,4,8,4,2.4e-05,60,61
16,-1,800,4,8,8,2.5e-05,60,61
16,-1,800,4,8,16,2.5e-05,60,60
16,-1,800,4,8,32,2.4e-05,60,60
16,-1,800,4,16,2,2.4e-05,60,61
16,-1,800,4,16,4,2.4e-05,60,61
16,-1,800,4,16,8,2.5e-05,60,61
16,-1,800,4,16,16,2.4e-05,60,60
16,-1,800,4,32,2,2.8e-05,60,61
16,-1,800,4,32,4,2.3e-05,60,61
16,-1,800,4,32,8,2.3e-05,60,61
16,-1,800,4,64,2,2.4e-05,60,61
16,-1,800,4,64,4,2.2e-05,60,61
16,-1,800,8,2,2,2.4e-05,60,61
16,-1,800,8,2,4,2.9e-05,60,61
16,-1,800,8,2,8,2.4e-05,60,60
16,-1,800,8,2,16,2.4e-05,60,60
16,-1,800,8,2,32,2.4e-05,60,60
16,-1,800,8,2,64,2.5e-05,60,60
16,-1,800,8,4,2,2.5e-05,60,61
16,-1,800,8,4,4,2.4e-05,60,61
16,-1,800,8,4,8,2.4e-05,60,60
16,-1,800,8,4,16,2.4e-05,60,60
16,-1,800,8,4,32,2.3e-05,60,60
16,-1,800,8,8,2,2.3e-05,60,61
16,-1,800,8,8,4,2.4e-05,60,61
16,-1,800,8,8,8,2.5e-05,60,60
16,-1,800,8,8,16,2.4e-05,60,60
16,-1,800,8,16,2,2.3e-05,60,61
16,-1,800,8,16,4,2.5e-05,60,61
16,-1,800,8,16,8,2.3e-05,60,60
16,-1,800,8,32,2,2.5e-05,60,61
16,-1,800,8,32,4,2.3e-05,60,61
16,-1,800,8,64,2,2.4e-05,60,61
16,-1,800,16,2,2,2.4e-05,60,61
16,-1,800,16,2,4,2.4e-05,60,61
16,-1,800,16,2,8,2.5e-05,60,61
16,-1,800,16,2,16,2.3e-05,60,60
16,-1,800,16,2,32,2.2e-05,60,60
16,-1,800,16,4,2,2.4e-05,60,61
16,-1,800,16,4,4,2.4e-05,60,61
16,-1,800,16,4,8,2.3e-05,60,61
16,-1,800,16,4,16,2.3e-05,60,61
16,-1,800,16,8,2,2.5e-05,60,61
16,-1,800,16,8,4,2.5e-05,60,61
16,-1,800,16,8,8,2.4e-05,60,60
16,-1,800,16,16,2,2.4e-05,60,61
16,-1,800,16,16,4,2.3e-05,60,61
16,-1,800,16,32,2,2.3e-05,60,61
16,-1,800,32,2,2,2.3e-05,60,61
16,-1,800,32,2,4,2.3e-05,60,61
16,-1,800,32,2,8,2.5e-05,60,61
16,-1,800,32,2,16,2.5e-05,60,61
16,-1,800,32,4,2,2.3e-05,60,61
16,-1,800,32,4,4,2.3e-05,60,61
16,-1,800,32,4,8,2.3e-05,60,61
16,-1,800,32,8,2,2.3e-05,60,61
16,-1,800,32,8,4,2.3e-05,60,61
16,-1,800,32,16,2,2.5e-05,60,62
16,-1,800,64,2,2,2.4e-05,60,62
16,-1,800,64,2,4,2.4e-05,60,61
16,-1,800,64,2,8,2.4e-05,60,61
16,-1,800,64,4,2,2.6e-05,60,61
16,-1,800,64,4,4,2.5e-05,60,61
16,-1,800,64,8,2,2.3e-05,60,61
